ENSG00000002330: BAD
ENSG00000233275: Not found
ENSG00000233351: Not found
ENSG00000233894: Not found
ENSG00000234004: Not found
ENSG00000234144: COX6CP13
ENSG00000234149: Not found
ENSG00000234441: Not found
ENSG00000234638: Not found
ENSG00000234718: Not found
ENSG00000235118: FAM237A
ENSG00000235121: Not found
ENSG00000235505: CASP4LP
ENSG00000235802: HCFC1-AS1
ENSG00000235959: Not found
ENSG00000236213: Not found
ENSG00000236860: RPL39P29
ENSG00000236958: Not found
ENSG00000237308: Not found
ENSG00000237590: Not found
ENSG00000237797: MACORIS
ENSG00000237813: Not found
ENSG00000237928: NFIA-AS2
ENSG00000239719: Not found
ENSG00000240270: RPL12P37
ENSG00000240435: RPS12P27
ENSG00000240898: Not found
ENSG00000242737: Not found
ENSG00000242829: RPS26P21
ENSG00000242953: Not found
ENSG00000243646: IL10RB
ENSG00000244356: RN7SL398P
ENSG00000246223: LINC01550
ENSG00000246430: LINC00968
ENSG00000248479: Not found
ENSG00000248714: ZNF652-AS1
ENSG00000249086: Not found
ENSG00000250392: LINC02502
ENSG00000250535: STK19B
ENSG00000250981: MARCHF11-AS1
ENSG00000251003: ZFPM2-AS1
ENSG00000252255: RNU2-35P
ENSG00000252274: Not found
ENSG00000253081: RNU4ATAC17P
ENSG00000253105: Not found
ENSG00000254489: MPPED2-AS1
ENSG00000254739: Not found
ENSG00000254943: Not found
ENSG00000255058: PDCL2P2
ENSG00000255173: Not found
ENSG00000255487: Not found
ENSG00000255663: Not found
ENSG00000257210: NACAP8
ENSG00000257303: CNPY2-AS1
ENSG00000258185: Not found
ENSG00000258383: Not found
ENSG00000258425: Not found
ENSG00000258444: Not found
ENSG00000258864: Not found
ENSG00000259375: Not found
ENSG00000259460: Not found
ENSG00000259523: Not found
ENSG00000259900: Not found
ENSG00000260484: Not found
ENSG00000260534: Not found
ENSG00000260604: Not found
ENSG00000261039: LINC02544
ENSG00000263155: MYZAP
ENSG00000265867: MIR4516
ENSG00000266002: Not found
ENSG00000266120: Not found
ENSG00000266651: Not found
ENSG00000266975: FARSA-AS1
ENSG00000267064: UXT-AS1
ENSG00000267317: Not found
ENSG00000267406: Not found
ENSG00000267541: MTCO2P2
ENSG00000268738: HSFX2
ENSG00000268895: A1BG-AS1
ENSG00000269980: Not found
ENSG00000270504: Not found
ENSG00000271196: Not found
ENSG00000271601: LIX1L
ENSG00000271725: Not found
ENSG00000271907: SNORA35B
ENSG00000271974: RDM1P4
ENSG00000272296: SNORD96A
ENSG00000272321: Not found
ENSG00000272428: Not found
ENSG00000273532: Not found
ENSG00000274620: MIR378J
ENSG00000274642: Not found
ENSG00000275266: Not found
ENSG00000276105: Not found
ENSG00000276530: Not found
ENSG00000276573: Not found
ENSG00000277049: RNA5SP530
ENSG00000277077: Not found
ENSG00000277977: Not found
ENSG00000278642: Not found
ENSG00000282393: Not found
ENSG00000282728: PGR-AS1
ENSG00000283726: MIR5193
ENSG00000283956: MIR3610
ENSG00000284055: MIR4315-1
ENSG00000284143: MIR4700
ENSG00000284146: MIR922
ENSG00000284172: MIR4315-2
ENSG00000284442: MIR2110
ENSG00000284464: MIR1306
ENSG00000284615: Not found
ENSG00000285564: Not found
ENSG00000285655: Not found
